Country,Date,Value,Wind10int,Wind100int
Canada,2014-07-01,1331.35,3.4394948,5.230607
Canada,2014-06-01,1223.793,3.536928,5.3848596
Canada,2014-05-01,1391.316,3.5213635,5.3662453
Canada,2014-04-01,2173.223,3.9057338,5.9503074
Canada,2014-03-01,2181.5,3.7565515,5.8114367
Canada,2014-02-01,1897.383,3.755114,5.9335527
Canada,2014-01-01,2835.394,4.2315207,6.7831006
Canada,2013-12-01,1777.417,3.879215,6.2211556
Canada,2013-11-01,2076.87,4.0042415,6.3457136
Canada,2013-10-01,1490.613,3.7861364,5.9082613
Canada,2013-09-01,1222.529,3.9705634,6.099579
Canada,2013-08-01,812.533,3.4406857,5.2141867
Canada,2013-07-01,876.276,3.6000297,5.4223704
Canada,2013-06-01,992.951,3.4300113,5.1987777
Canada,2013-05-01,1440.684,3.588827,5.455174
Canada,2013-04-01,1751.585,4.105842,6.236904
Canada,2013-03-01,1488.343,3.7621999,5.8081717
Canada,2013-02-01,1676.924,3.6180294,5.730089
Canada,2013-01-01,2178.274,3.826692,6.1126285
Canada,2012-12-01,1117.191,3.547413,5.66633
Canada,2012-11-01,1022.274,3.9294314,6.171944
Canada,2012-10-01,1176.21,3.8632755,5.955906
Canada,2012-09-01,767.995,4.0024214,6.202703
Canada,2012-08-01,572.12,3.353801,5.1263947
Canada,2012-07-01,508.204,3.2709649,4.9310575
Canada,2012-06-01,753.76,3.6261792,5.5242977
Canada,2012-05-01,817.749,3.6488173,5.539376
Canada,2012-04-01,993.25,3.6829813,5.576727
Canada,2012-03-01,1178.972,3.9172595,6.1035476
Canada,2012-02-01,983.838,3.617812,5.801007
Canada,2012-01-01,1306.437,3.977817,6.3916373
Canada,2011-12-01,1241.804,4.2044735,6.712687
Canada,2011-11-01,1269.839,4.0612426,6.4047604
Canada,2011-10-01,946.429,3.963695,6.184066
Canada,2011-09-01,716.813,4.040727,6.233958
Canada,2011-08-01,515.908,3.45834,5.2824526
Canada,2011-07-01,549.69,3.358922,5.097636
Canada,2011-06-01,622.542,3.6529458,5.536448
Canada,2011-05-01,766.669,3.686189,5.566691
Canada,2011-04-01,938.943,3.7866008,5.7027636
Canada,2011-03-01,837.349,3.7261927,5.7903953
Canada,2011-02-01,913.153,4.177845,6.598608
Canada,2011-01-01,766.862,3.709042,5.921512
Canada,2010-12-01,1015.091,3.9886184,6.3021975
Canada,2010-11-01,1016.929,4.204863,6.6192837
Canada,2010-10-01,1023.757,4.051376,6.339833
Canada,2010-09-01,803.966,3.6927238,5.655499
Canada,2010-08-01,513.62,3.4843495,5.313464
Canada,2010-07-01,554.551,3.3030725,5.020199
Canada,2010-06-01,556.542,3.4386322,5.17763
Canada,2010-05-01,674.533,3.704682,5.5244923
Canada,2010-04-01,725.951,3.9571562,6.126607
Canada,2010-03-01,667.448,3.7818713,5.9455013
Canada,2010-02-01,453.208,3.5254562,5.629358
Canada,2010-01-01,631.406,3.9628317,6.346178
Germany,2023-03-01,14342.1549,4.019503,6.787114
Germany,2023-02-01,11957.5123,3.76619,6.406877
Germany,2023-01-01,17201.554,4.348499,7.36045
Germany,2022-12-01,11865.3642,3.451154,6.033372
Germany,2022-11-01,12707.6513,3.4593918,6.077384
Germany,2022-10-01,10857.4488,3.194185,5.7195034
Germany,2022-09-01,7978.8544,3.0450995,5.0517206
Germany,2022-08-01,4474.3531,2.5351713,4.147274
Germany,2022-07-01,7168.6333,3.004716,4.728285
Germany,2022-06-01,5455.3184,2.6956294,4.3531604
Germany,2022-05-01,7760.635,3.0333047,4.934472
Germany,2022-04-01,11215.1333,3.7157009,6.0759296
Germany,2022-03-01,8002.7945,2.878625,5.004115
Germany,2022-02-01,20411.2563,5.5026007,9.167655
Germany,2022-01-01,15851.2874,4.162601,7.0530605
Germany,2021-12-01,12064.3029,3.51816,5.7756095
Germany,2021-11-01,10219.594,3.218502,5.4812417
Germany,2021-10-01,12957.2754,3.5706897,6.2016053
Germany,2021-09-01,5751.6605,2.6409764,4.4620094
Germany,2021-08-01,7980.7517,3.106237,5.038356
Germany,2021-07-01,5858.8265,2.7705429,4.4756083
Germany,2021-06-01,4375.9194,2.4388747,3.945131
Germany,2021-05-01,9958.9944,3.7280092,6.0781198
Germany,2021-04-01,9433.7158,3.3437788,5.443791
Germany,2021-03-01,11374.3958,3.4437575,5.7816763
Germany,2021-02-01,11127.7774,3.4324393,6.0753345
Germany,2021-01-01,11413.7862,3.6303174,6.2218423
Germany,2020-12-01,11642.79,3.416983,6.068118
Germany,2020-11-01,11229.8584,3.2756734,5.68438
Germany,2020-10-01,13459.3409,3.8642814,6.5651956
Germany,2020-09-01,6357.3687,2.6723669,4.4788666
Germany,2020-08-01,6766.8069,2.764589,4.5675707
Germany,2020-07-01,7005.8102,2.9326327,4.6956587
Germany,2020-06-01,6406.0256,2.938256,4.7764316
Germany,2020-05-01,7627.0472,3.0949535,4.9730897
Germany,2020-04-01,8746.3773,3.1295056,5.2056637
Germany,2020-03-01,14144.3958,4.027107,6.7703166
Germany,2020-02-01,20290.4489,5.571504,9.234808
Germany,2020-01-01,15967.7302,3.9394119,6.877533
Germany,2019-12-01,15180.612,3.9330745,6.9863315
Germany,2019-11-01,10072.3251,3.2715738,5.729177
Germany,2019-10-01,11636.9124,3.5770147,6.1581054
Germany,2019-09-01,9106.1534,3.284974,5.4319134
Germany,2019-08-01,5790.4241,2.621288,4.3369694
Germany,2019-07-01,6565.8587,2.9122293,4.5589657
Germany,2019-06-01,6575.0843,2.88001,4.6898217
Germany,2019-05-01,8277.6749,3.2260644,5.2093062
Germany,2019-04-01,9067.7997,3.3430793,5.608225
Germany,2019-03-01,16472.0629,4.610341,7.6267366
Germany,2019-02-01,10886.3909,3.5101113,6.2179465
Germany,2019-01-01,13913.7015,4.277428,7.20853
Germany,2018-12-01,14261.6712,4.1915727,7.1996512
Germany,2018-11-01,9830.0392,3.2519295,5.751511
Germany,2018-10-01,10618.137,3.4504728,5.8566937
Germany,2018-09-01,7889.819,3.0187054,4.999835
Germany,2018-08-01,6043.5841,2.850657,4.56774
Germany,2018-07-01,4391.0133,2.5326948,4.021915
Germany,2018-06-01,5741.8409,2.9505103,4.6546865
Germany,2018-05-01,7195.2042,3.047297,5.0649133
Germany,2018-04-01,8892.6567,3.239639,5.51863
Germany,2018-03-01,10654.7193,3.600526,6.042325
Germany,2018-02-01,7943.1628,3.296517,5.5641675
Germany,2018-01-01,14427.1523,4.3764954,7.4766855
Germany,2017-12-01,15190.198,4.347668,7.4334474
Germany,2017-11-01,10430.6,3.6730845,6.3072443
Germany,2017-10-01,12669.094,4.151286,6.986082
Germany,2017-09-01,6374.085,3.0217917,5.0152073
Germany,2017-08-01,5579.143,2.812122,4.667265
Germany,2017-07-01,5590.064,2.982193,4.861714
Germany,2017-06-01,7117.905,3.2894983,5.278193
Germany,2017-05-01,5680.844,2.8440146,4.6862693
Germany,2017-04-01,8089.17,3.4096627,5.520119
Germany,2017-03-01,9296.492,3.5927353,6.1871223
Germany,2017-02-01,9873.044,3.8639872,6.610965
Germany,2017-01-01,7816.363,3.3510528,5.83519
Germany,2016-12-01,8822.787,3.4441268,6.073892
Germany,2016-11-01,7678.555,3.4387867,6.031936
Germany,2016-10-01,5332.654,2.9647236,4.958539
Germany,2016-09-01,4019.445,2.6728187,4.535534
Germany,2016-08-01,4529.318,2.8757284,4.7422414
Germany,2016-07-01,4432.723,2.8356118,4.550721
Germany,2016-06-01,4432.723,2.5877333,4.1844754
Germany,2016-05-01,6446.242,3.2643719,5.395533
Germany,2016-04-01,6235.869,3.1990001,5.280545
Germany,2016-03-01,6332.818,3.3043466,5.577343
Germany,2016-02-01,10379.97,4.388342,7.3850055
Germany,2016-01-01,9772.898,3.929385,6.8193183
Germany,2015-12-01,11490.346,4.1808767,7.373303
Germany,2015-11-01,10567.127,4.411237,7.446175
Germany,2015-10-01,3984.135,2.653384,4.542159
Germany,2015-09-01,5552.798,3.3417952,5.615474
Germany,2015-08-01,3945.48,2.7309158,4.521841
Germany,2015-07-01,6008.565,3.437991,5.4697046
Germany,2015-06-01,4223.255,3.0849965,4.940087
Germany,2015-05-01,5425.148,3.25102,5.2849717
Germany,2015-04-01,5386.493,3.2537045,5.3867917
Germany,2015-03-01,7458.567,3.8219826,6.4132056
Germany,2015-02-01,5414.36,3.3560536,5.788862
Germany,2015-01-01,9627.727,4.5067177,7.629527
Germany,2014-12-01,9859.772,4.379344,7.3661814
Germany,2014-11-01,4439.511,3.0597563,5.31145
Germany,2014-10-01,4233.522,3.0530376,5.2795024
Germany,2014-09-01,2737.288,2.817998,4.720973
Germany,2014-08-01,3713.94,3.0553446,4.9805593
Germany,2014-07-01,2611.236,2.7629123,4.5145645
Germany,2014-06-01,2758.809,2.7974117,4.4393277
Germany,2014-05-01,4130.016,3.3603275,5.454231
Germany,2014-04-01,3959.896,3.0363865,5.015696
Germany,2014-03-01,5112.816,3.2189353,5.5254154
Germany,2014-02-01,6852.956,3.9071553,6.9176955
Germany,2014-01-01,6947.24,3.8246675,6.605557
Germany,2013-12-01,8983.97,4.1818905,7.314204
Germany,2013-11-01,4634.187,3.578286,6.078022
Germany,2013-10-01,5889.861,3.6755836,6.3295794
Germany,2013-09-01,3611.403,3.2705376,5.437315
Germany,2013-08-01,2521.006,2.6912425,4.4167056
Germany,2013-07-01,1836.289,2.6237123,4.2561536
Germany,2013-06-01,3662.918,3.2911048,5.293091
Germany,2013-05-01,3109.134,3.1089125,5.0920544
Germany,2013-04-01,3574.914,3.2109947,5.3710976
Germany,2013-03-01,5016.256,3.554078,5.7898226
Germany,2013-02-01,3469.738,3.3472118,5.589181
Germany,2013-01-01,5398.324,3.7532728,6.290083
Germany,2012-12-01,6229.524,4.056439,7.0718985
Germany,2012-11-01,4319.372,3.3718204,5.8490233
Germany,2012-10-01,4125.045,3.3533294,5.7519317
Germany,2012-09-01,3342.214,3.1855345,5.2995644
Germany,2012-08-01,2390.45,2.7680926,4.592124
Germany,2012-07-01,2918.226,3.1458194,5.080176
Germany,2012-06-01,3201.989,3.1760707,5.1185575
Germany,2012-05-01,3201.989,3.176223,5.195138
Germany,2012-04-01,3755.16,3.3360517,5.542646
Germany,2012-03-01,4448.556,3.2396226,5.4951363
Germany,2012-02-01,4967.499,3.7933638,6.416973
Germany,2012-01-01,7770.977,4.652258,7.7762713
Germany,2011-12-01,8743.709,5.0640025,8.578965
Germany,2011-11-01,3234.457,2.9158428,5.1371446
Germany,2011-10-01,4360.646,3.567416,6.0458813
Germany,2011-09-01,3159.734,3.1004653,5.212599
Germany,2011-08-01,3055.121,3.0951426,5.075728
Germany,2011-07-01,3936.857,3.4205127,5.472902
Germany,2011-06-01,2763.699,3.1966205,5.1299334
Germany,2011-05-01,3350.812,3.1913786,5.1628966
Germany,2011-04-01,3900.563,3.31723,5.5660853
Germany,2011-03-01,3415.928,3.1976438,5.4852543
Germany,2011-02-01,4991.525,3.8387365,6.39389
Germany,2011-01-01,3969.949,3.3937922,5.992407
Germany,2010-12-01,2967.216,3.5750802,6.0829744
Germany,2010-11-01,3882.363,3.706823,6.2018085
Germany,2010-10-01,4059.664,3.5240643,6.0195055
Germany,2010-09-01,2835.891,3.2572792,5.4235935
Germany,2010-08-01,2982.452,3.156083,5.1603518
Germany,2010-07-01,1765.105,2.5823743,4.1487365
Germany,2010-06-01,1960.015,2.7600746,4.4431334
Germany,2010-05-01,2692.018,3.176225,5.078166
Germany,2010-04-01,3145.056,3.2291,5.4152617
Germany,2010-03-01,4901.152,3.836795,6.5145755
Germany,2010-02-01,3695.588,3.5854938,6.2076106
Germany,2010-01-01,2906.482,3.2769086,5.4493475
United States,2023-03-01,44426.331,3.7620718,5.986961
United States,2023-02-01,42084.0444,3.7561345,6.1226683
United States,2023-01-01,39139.6361,3.4202583,5.6555552
United States,2022-12-01,39343.876,3.5954943,5.9064255
United States,2022-11-01,42035.8654,3.5879188,5.8377204
United States,2022-10-01,32876.9999,3.2111855,5.157693
United States,2022-09-01,27065.9698,2.9695795,4.703326
United States,2022-08-01,24420.6168,2.7376237,4.2601504
United States,2022-07-01,29403.7878,2.9231167,4.5045815
United States,2022-06-01,33752.4162,3.1926694,4.9324446
United States,2022-05-01,41966.5883,3.605725,5.612973
United States,2022-04-01,46297.9676,4.062795,6.3569765
United States,2022-03-01,43307.819,3.787329,6.049681
United States,2022-02-01,38227.1363,3.728986,6.0377555
United States,2022-01-01,38257.3738,3.5629098,5.840893
United States,2021-12-01,40743.0095,3.6765952,6.0674987
United States,2021-11-01,36105.3909,3.3340666,5.485361
United States,2021-10-01,32483.8416,3.331332,5.347252
United States,2021-09-01,28712.6186,3.0361142,4.82118
United States,2021-08-01,26350.2088,2.8980186,4.5160723
United States,2021-07-01,21474.1918,2.7710545,4.2837386
United States,2021-06-01,26436.0806,3.081928,4.7810426
United States,2021-05-01,33254.9815,3.3664463,5.224574
United States,2021-04-01,35969.5158,3.558406,5.592598
United States,2021-03-01,39627.0266,3.7702305,6.040676
United States,2021-02-01,26726.5226,3.5338724,5.7097287
United States,2021-01-01,30479.1127,3.374649,5.5655756
United States,2020-12-01,32356.2621,3.469463,5.756939
United States,2020-11-01,33738.9743,3.6410298,6.010127
United States,2020-10-01,29326.3661,3.3314059,5.3213086
United States,2020-09-01,23103.3083,3.2004862,5.0529056
United States,2020-08-01,22507.6148,2.834956,4.4182587
